action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,,33392,[],CHEMBL857692,Inhibitory concentration against HCV NS3 protease was determined,B,,,BAO_0000190,BAO_0000357,single protein format,CC[C@H](NC(=O)[C@H](CC1CCCCC1)NC(=O)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)c1cnccn1)[C@@H](C)CC)C(=O)C(=O)N1CCCC1,,,CHEMBL1136650,Bioorg Med Chem Lett,2003,"{'bei': '6.53', 'le': '0.12', 'lle': '1.69', 'sei': '2.44'}",CHEMBL273701,,CHEMBL273701,4.38,0,http://www.openphacts.org/units/Nanomolar,12761,=,1,1,=,,IC50,nM,,42000.0,CHEMBL4620,Hepatitis C virus genotype 1a (isolate 1) (HCV),Hepatitis C virus polyprotein,11104,,,IC50,uM,UO_0000065,,42.0
,,33393,[],CHEMBL857692,Inhibitory concentration against HCV NS3 protease was determined,B,,,BAO_0000190,BAO_0000357,single protein format,CC[C@H](NC(=O)[C@H](CC1CCCCC1)NC(=O)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)c1cnccn1)[C@@H](C)CC)C(=O)C(=O)NCC(N)=O,,,CHEMBL1136650,Bioorg Med Chem Lett,2003,"{'bei': '7.98', 'le': '0.15', 'lle': '4.70', 'sei': '2.32'}",CHEMBL276488,,CHEMBL276488,5.37,0,http://www.openphacts.org/units/Nanomolar,12755,=,1,1,=,,IC50,nM,,4300.0,CHEMBL4620,Hepatitis C virus genotype 1a (isolate 1) (HCV),Hepatitis C virus polyprotein,11104,,,IC50,uM,UO_0000065,,4.3
,,35906,[],CHEMBL857692,Inhibitory concentration against HCV NS3 protease was determined,B,,,BAO_0000190,BAO_0000357,single protein format,CC[C@H](NC(=O)[C@H](CC1CCCCC1)NC(=O)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)c1cnccn1)[C@@H](C)CC)C(=O)C(=O)NCCC(=O)O,,,CHEMBL1136650,Bioorg Med Chem Lett,2003,"{'bei': '7.15', 'le': '0.14', 'lle': '3.26', 'sei': '2.18'}",CHEMBL13773,,CHEMBL13773,4.92,0,http://www.openphacts.org/units/Nanomolar,12753,=,1,1,=,,IC50,nM,,12000.0,CHEMBL4620,Hepatitis C virus genotype 1a (isolate 1) (HCV),Hepatitis C virus polyprotein,11104,,,IC50,uM,UO_0000065,,12.0
,,40613,[],CHEMBL857692,Inhibitory concentration against HCV NS3 protease was determined,B,,,BAO_0000190,BAO_0000357,single protein format,CC[C@H](NC(=O)[C@H](CC1CCCCC1)NC(=O)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)c1cnccn1)[C@@H](C)CC)C(=O)C(=O)N[C@H](C(=O)O)C(C)C,,,CHEMBL1136650,Bioorg Med Chem Lett,2003,"{'bei': '7.60', 'le': '0.15', 'lle': '3.14', 'sei': '2.41'}",CHEMBL13442,,CHEMBL13442,5.44,0,http://www.openphacts.org/units/Nanomolar,12748,=,1,1,=,,IC50,nM,,3600.0,CHEMBL4620,Hepatitis C virus genotype 1a (isolate 1) (HCV),Hepatitis C virus polyprotein,11104,,,IC50,uM,UO_0000065,,3.6
,,40614,[],CHEMBL857692,Inhibitory concentration against HCV NS3 protease was determined,B,,,BAO_0000190,BAO_0000357,single protein format,CC[C@H](C)[C@H](NC(=O)[C@H](CC(C)C)NC(=O)c1cnccn1)C(=O)N[C@@H](CC1CCCCC1)C(=O)NC(C)(C)C(=O)C(=O)NCC(=O)O,,,CHEMBL1136650,Bioorg Med Chem Lett,2003,,CHEMBL266854,,CHEMBL266854,,0,http://www.openphacts.org/units/Nanomolar,12745,>,1,1,>,,IC50,nM,,60000.0,CHEMBL4620,Hepatitis C virus genotype 1a (isolate 1) (HCV),Hepatitis C virus polyprotein,11104,,,IC50,uM,UO_0000065,,60.0
,,43080,[],CHEMBL857692,Inhibitory concentration against HCV NS3 protease was determined,B,,,BAO_0000190,BAO_0000357,single protein format,CC[C@H](NC(=O)[C@H](CC1CCCCC1)NC(=O)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)c1cnccn1)[C@@H](C)CC)C(=O)C(=O)NC1CC1,,,CHEMBL1136650,Bioorg Med Chem Lett,2003,"{'bei': '8.63', 'le': '0.16', 'lle': '3.31', 'sei': '3.00'}",CHEMBL13514,,CHEMBL13514,5.66,0,http://www.openphacts.org/units/Nanomolar,12758,=,1,1,=,,IC50,nM,,2200.0,CHEMBL4620,Hepatitis C virus genotype 1a (isolate 1) (HCV),Hepatitis C virus polyprotein,11104,,,IC50,uM,UO_0000065,,2.2
,,43081,[],CHEMBL857692,Inhibitory concentration against HCV NS3 protease was determined,B,,,BAO_0000190,BAO_0000357,single protein format,CC[C@H](NC(=O)[C@H](CC1CCCCC1)NC(=O)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)c1cnccn1)[C@@H](C)CC)C(=O)C(=O)N(C)CC(=O)O,,,CHEMBL1136650,Bioorg Med Chem Lett,2003,,CHEMBL274131,,CHEMBL274131,,0,http://www.openphacts.org/units/Nanomolar,12752,>,1,1,>,,IC50,nM,,60000.0,CHEMBL4620,Hepatitis C virus genotype 1a (isolate 1) (HCV),Hepatitis C virus polyprotein,11104,,,IC50,uM,UO_0000065,,60.0
,,43082,[],CHEMBL857692,Inhibitory concentration against HCV NS3 protease was determined,B,,,BAO_0000190,BAO_0000357,single protein format,CC[C@H](NC(=O)[C@H](CC1CCCCC1)NC(=O)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)c1cnccn1)[C@@H](C)CC)C(=O)C(=O)N[C@@H](CC(=O)O)C(=O)O,,,CHEMBL1136650,Bioorg Med Chem Lett,2003,"{'bei': '7.21', 'le': '0.14', 'lle': '4.16', 'sei': '2.01'}",CHEMBL273735,,CHEMBL273735,5.28,0,http://www.openphacts.org/units/Nanomolar,12747,=,1,1,=,,IC50,nM,,5300.0,CHEMBL4620,Hepatitis C virus genotype 1a (isolate 1) (HCV),Hepatitis C virus polyprotein,11104,,,IC50,uM,UO_0000065,,5.3
,,45400,[],CHEMBL857692,Inhibitory concentration against HCV NS3 protease was determined,B,,,BAO_0000190,BAO_0000357,single protein format,C#CCNC(=O)C(=O)[C@H](CC)NC(=O)[C@H](CC1CCCCC1)NC(=O)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)c1cnccn1)[C@@H](C)CC,,,CHEMBL1136650,Bioorg Med Chem Lett,2003,"{'bei': '8.86', 'le': '0.17', 'lle': '3.98', 'sei': '3.08'}",CHEMBL274547,,CHEMBL274547,5.80,0,http://www.openphacts.org/units/Nanomolar,12757,=,1,1,=,,IC50,nM,,1600.0,CHEMBL4620,Hepatitis C virus genotype 1a (isolate 1) (HCV),Hepatitis C virus polyprotein,11104,,,IC50,uM,UO_0000065,,1.6
,,50655,[],CHEMBL857692,Inhibitory concentration against HCV NS3 protease was determined,B,,,BAO_0000190,BAO_0000357,single protein format,CC[C@H](NC(=O)[C@H](CC1CCCCC1)NC(=O)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)c1cnccn1)[C@@H](C)CC)C(=O)C(=O)NCc1ccccc1,,,CHEMBL1136650,Bioorg Med Chem Lett,2003,"{'bei': '7.02', 'le': '0.13', 'lle': '1.57', 'sei': '2.63'}",CHEMBL13447,,CHEMBL13447,4.96,0,http://www.openphacts.org/units/Nanomolar,12759,=,1,1,=,,IC50,nM,,11000.0,CHEMBL4620,Hepatitis C virus genotype 1a (isolate 1) (HCV),Hepatitis C virus polyprotein,11104,,,IC50,uM,UO_0000065,,11.0
