molecule_chembl_id,canonical_smiles,standard_value,bioactivity_class
CHEMBL273701,CC[C@H](NC(=O)[C@H](CC1CCCCC1)NC(=O)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)c1cnccn1)[C@@H](C)CC)C(=O)C(=O)N1CCCC1,42000.0,inactive
CHEMBL276488,CC[C@H](NC(=O)[C@H](CC1CCCCC1)NC(=O)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)c1cnccn1)[C@@H](C)CC)C(=O)C(=O)NCC(N)=O,4300.0,intermediate
CHEMBL13773,CC[C@H](NC(=O)[C@H](CC1CCCCC1)NC(=O)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)c1cnccn1)[C@@H](C)CC)C(=O)C(=O)NCCC(=O)O,12000.0,inactive
CHEMBL13442,CC[C@H](NC(=O)[C@H](CC1CCCCC1)NC(=O)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)c1cnccn1)[C@@H](C)CC)C(=O)C(=O)N[C@H](C(=O)O)C(C)C,3600.0,intermediate
CHEMBL266854,CC[C@H](C)[C@H](NC(=O)[C@H](CC(C)C)NC(=O)c1cnccn1)C(=O)N[C@@H](CC1CCCCC1)C(=O)NC(C)(C)C(=O)C(=O)NCC(=O)O,60000.0,inactive
CHEMBL13514,CC[C@H](NC(=O)[C@H](CC1CCCCC1)NC(=O)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)c1cnccn1)[C@@H](C)CC)C(=O)C(=O)NC1CC1,2200.0,intermediate
CHEMBL274131,CC[C@H](NC(=O)[C@H](CC1CCCCC1)NC(=O)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)c1cnccn1)[C@@H](C)CC)C(=O)C(=O)N(C)CC(=O)O,60000.0,inactive
CHEMBL273735,CC[C@H](NC(=O)[C@H](CC1CCCCC1)NC(=O)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)c1cnccn1)[C@@H](C)CC)C(=O)C(=O)N[C@@H](CC(=O)O)C(=O)O,5300.0,intermediate
CHEMBL274547,C#CCNC(=O)C(=O)[C@H](CC)NC(=O)[C@H](CC1CCCCC1)NC(=O)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)c1cnccn1)[C@@H](C)CC,1600.0,intermediate
CHEMBL13447,CC[C@H](NC(=O)[C@H](CC1CCCCC1)NC(=O)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)c1cnccn1)[C@@H](C)CC)C(=O)C(=O)NCc1ccccc1,11000.0,inactive
CHEMBL13370,CCNC(=O)C(=O)[C@H](CC)NC(=O)[C@H](CC1CCCCC1)NC(=O)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)c1cnccn1)[C@@H](C)CC,1800.0,intermediate
CHEMBL265345,C=CCNC(=O)C(=O)[C@H](CC)NC(=O)[C@H](CC1CCCCC1)NC(=O)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)c1cnccn1)[C@@H](C)CC,2700.0,intermediate
CHEMBL13256,CC[C@H](NC(=O)[C@H](CC1CCCCC1)NC(=O)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)c1cnccn1)[C@@H](C)CC)C(=O)C(=O)NCC(=O)O,230.0,active
CHEMBL13155,CC[C@H](NC(=O)[C@H](CC1CCCCC1)NC(=O)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)c1cnccn1)[C@@H](C)CC)C(=O)C(=O)N1CCOCC1,60000.0,inactive
CHEMBL13443,C=CCNC(=O)C(=O)[C@H](CC)NC(=O)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@@H](N)CC(=O)O)C(C)C)C(C)C,420.0,active
CHEMBL266222,CC[C@H](NC(=O)[C@H](CC1CCCCC1)NC(=O)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)c1cnccn1)[C@@H](C)CC)C(=O)C(=O)N[C@@H](CCCCN)C(=O)O,7700.0,intermediate
CHEMBL275116,CC[C@H](C)[C@H](NC(=O)[C@H](CC(C)C)NC(=O)c1cnccn1)C(=O)N[C@@H](CC1CCCCC1)C(=O)NC1(C(=O)C(=O)NCC(=O)O)CC1,60000.0,inactive
CHEMBL13664,CC[C@H](NC(=O)[C@H](CC1CCCCC1)NC(=O)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)c1cnccn1)[C@@H](C)CC)C(=O)C(=O)N[C@H](C)C(=O)O,60000.0,inactive
CHEMBL13181,CC[C@H](NC(=O)[C@H](CC1CCCCC1)NC(=O)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)c1cnccn1)[C@@H](C)CC)C(=O)C(=O)NC(C)(C)C(=O)O,60000.0,inactive
CHEMBL274451,CC[C@H](NC(=O)[C@H](CC1CCCCC1)NC(=O)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)c1cnccn1)[C@@H](C)CC)C(=O)C(=O)N[C@@H](C)C(=O)O,1300.0,intermediate
CHEMBL275290,CC[C@H](C)[C@H](NC(=O)[C@H](CC(C)C)NC(=O)c1cnccn1)C(=O)N[C@@H](CC1CCCCC1)C(=O)N[C@@H](CC(F)F)C(=O)C(=O)NCC(=O)O,60.0,active
CHEMBL264215,CC[C@H](NC(=O)[C@H](CC1CCCCC1)NC(=O)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)c1cnccn1)[C@@H](C)CC)C(=O)C(=O)NCC(=O)OC,5800.0,intermediate
CHEMBL167155,CC(=O)c1ccc(-c2cc(NS(=O)(=O)c3ccccc3C)c(C(=O)O)s2)cc1,1400.0,intermediate
CHEMBL167283,O=C(Nc1ccc(Cl)cc1)Nc1cc(-c2ccccc2)sc1C(=O)O,50000.0,inactive
CHEMBL349461,Cc1ccc(C(=O)Nc2cc(-c3ccccc3)sc2C(=O)O)cc1,12000.0,inactive
CHEMBL167299,Cc1ccccc1C(=O)Nc1cc(-c2ccccc2)sc1C(=O)O,14000.0,inactive
CHEMBL354354,Cc1ccccc1S(=O)(=O)Nc1cc(C(=O)O)sc1-c1ccccc1,50000.0,inactive
CHEMBL349659,O=C(Nc1cc(-c2ccccc2)sc1C(=O)O)Oc1ccc(Cl)cc1,13000.0,inactive
CHEMBL166740,Cc1ccccc1S(=O)(=O)Nc1cc(-c2ccc(S(C)(=O)=O)cc2)sc1C(=O)O,1800.0,intermediate
CHEMBL165329,O=C(O)C(Cc1ccccc1)N(Cc1cccc(C(F)(F)F)c1)C(=O)c1ccc(Cl)cc1Cl,1800.0,intermediate
CHEMBL164244,Cc1ccccc1S(=O)(=O)Nc1sc(-c2ccccc2)cc1C(=O)O,20000.0,inactive
CHEMBL165038,Cc1cc(S(=O)(=O)Nc2cc(-c3ccccc3)sc2C(=O)O)c(C)cc1Cl,5400.0,intermediate
CHEMBL435857,Cc1cc(Cl)ccc1S(=O)(=O)Nc1cc(-c2ccccc2)sc1C(=O)O,750.0,active
CHEMBL352783,Cc1cccc(S(=O)(=O)Nc2cc(-c3ccccc3)sc2C(=O)O)c1,7400.0,intermediate
CHEMBL168047,Cc1ccc(S(=O)(=O)Nc2cc(-c3ccccc3)sc2C(=O)O)cc1,4600.0,intermediate
CHEMBL354813,CC(=O)c1ccc(-c2cc(NS(=O)(=O)c3ccc(C)cc3C)c(C(=O)O)s2)cc1,390.0,active
CHEMBL349236,Cc1ccc(C)c(S(=O)(=O)Nc2cc(-c3ccccc3)sc2C(=O)O)c1,13000.0,inactive
CHEMBL351020,Cc1ccccc1S(=O)(=O)Nc1cc(-c2ccccc2)sc1C(=O)O,5200.0,intermediate
CHEMBL167790,Cc1ccc(S(=O)(=O)Nc2cc(-c3ccccc3)sc2C(=O)O)c(C)c1,1000.0,active
CHEMBL165438,O=C(O)c1sc(-c2ccccc2)cc1NS(=O)(=O)c1ccc(Cl)cc1,4100.0,intermediate
CHEMBL424014,Cc1cc(S(=O)(=O)Nc2cc(-c3ccccc3)sc2C(N)=O)c(C)cc1Cl,14000.0,inactive
CHEMBL161693,CCC(C)[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(F)F)C(=O)C(=O)OC,50000.0,intermediate
CHEMBL434083,CC(=O)N[C@H](C(=O)[C@H](CCC(=O)O)N[C@@H](CC1CCCCC1)C(=O)N[C@@H](CC(F)F)C(=O)C(=O)O)C(c1ccccc1)c1ccccc1,5300.0,inactive
